ID,Label
5227,No
5228,Yes
5229,No
5230,No
5231,No
5232,No
5233,No
5234,No
5235,No
5236,No
5237,No
5238,No
5239,No
5240,No
5241,Yes
5242,No
5243,No
5244,No
5245,Yes
5246,No
5247,No
5248,No
5249,No
5250,No
5251,No
5252,Yes
5253,No
5254,No
5255,Yes
5256,No
5257,Yes
5258,Yes
5259,No
5260,No
5261,No
5262,No
5263,Yes
5264,No
5265,No
5266,No
5267,No
5268,No
5269,No
5270,No
5271,No
5272,No
5273,No
5274,Yes
5275,No
5276,No
5277,No
5278,No
5279,Yes
5280,No
5281,No
5282,No
5283,No
5284,No
5285,Yes
5286,Yes
5287,No
5288,No
5289,No
5290,No
5291,Yes
5292,No
5293,Yes
5294,Yes
5295,No
5296,No
5297,No
5298,No
5299,No
5300,No
5301,No
5302,No
5303,No
5304,No
5305,Yes
5306,Yes
5307,No
5308,Yes
5309,Yes
5310,No
5311,No
5312,No
5313,Yes
5314,Yes
5315,No
5316,No
5317,No
5318,Yes
5319,Yes
5320,Yes
5321,No
5322,Yes
5323,No
5324,Yes
5325,No
5326,No
5327,No
5328,No
5329,Yes
5330,No
5331,No
5332,No
5333,No
5334,No
5335,No
5336,No
5337,Yes
5338,No
5339,No
5340,Yes
5341,No
5342,Yes
5343,No
5344,Yes
5345,No
5346,Yes
5347,No
5348,Yes
5349,No
5350,No
5351,No
5352,No
5353,Yes
5354,Yes
5355,No
5356,No
5357,No
5358,No
5359,Yes
5360,No
5361,Yes
5362,No
5363,No
5364,No
5365,Yes
5366,No
5367,No
5368,No
5369,No
5370,Yes
5371,Yes
5372,No
5373,No
5374,No
5375,No
5376,No
5377,No
5378,No
5379,No
5380,No
5381,Yes
5382,Yes
5383,No
5384,No
5385,No
5386,No
5387,Yes
5388,No
5389,No
5390,No
5391,Yes
5392,No
5393,No
5394,Yes
5395,No
5396,No
5397,No
5398,No
5399,No
5400,No
5401,No
5402,Yes
5403,No
5404,No
5405,No
5406,No
5407,No
5408,No
5409,Yes
5410,No
5411,No
5412,No
5413,No
5414,No
5415,No
5416,No
5417,No
5418,No
5419,No
5420,No
5421,Yes
5422,No
5423,Yes
5424,No
5425,No
5426,No
5427,No
5428,No
5429,No
5430,Yes
5431,No
5432,No
5433,No
5434,No
5435,No
5436,No
5437,No
5438,Yes
5439,No
5440,Yes
5441,Yes
5442,Yes
5443,No
5444,No
5445,Yes
5446,Yes
5447,No
5448,No
5449,Yes
5450,No
5451,Yes
5452,Yes
5453,Yes
5454,Yes
5455,Yes
5456,Yes
5457,No
5458,No
5459,No
5460,No
5461,Yes
5462,No
5463,No
5464,Yes
5465,No
5466,No
5467,No
5468,No
5469,Yes
5470,No
5471,No
5472,Yes
5473,No
5474,No
5475,Yes
5476,No
5477,Yes
5478,No
5479,No
5480,No
5481,Yes
5482,No
5483,No
5484,No
5485,No
5486,Yes
5487,Yes
5488,No
5489,Yes
5490,No
5491,No
5492,No
5493,Yes
5494,No
5495,No
5496,No
5497,Yes
5498,No
5499,No
5500,Yes
5501,No
5502,No
5503,No
5504,No
5505,Yes
5506,No
5507,No
5508,No
5509,No
5510,Yes
5511,No
5512,No
5513,No
5514,No
5515,No
5516,Yes
5517,Yes
5518,No
5519,No
5520,Yes
5521,No
5522,Yes
5523,No
5524,No
5525,No
5526,No
5527,No
5528,No
5529,No
5530,No
5531,No
5532,Yes
5533,No
5534,No
5535,No
5536,No
5537,No
5538,Yes
5539,No
5540,No
5541,No
5542,No
5543,No
5544,No
5545,Yes
5546,No
5547,No
5548,No
5549,No
5550,No
5551,No
5552,No
5553,No
5554,No
5555,No
5556,No
5557,No
5558,No
5559,Yes
5560,Yes
5561,No
5562,No
5563,No
5564,Yes
5565,No
5566,No
5567,No
5568,Yes
5569,No
5570,Yes
5571,No
5572,No
5573,No
5574,No
5575,No
5576,Yes
5577,Yes
5578,Yes
5579,No
5580,Yes
5581,Yes
5582,Yes
5583,Yes
5584,No
5585,No
5586,No
5587,No
5588,Yes
5589,Yes
5590,No
5591,Yes
5592,Yes
5593,No
5594,Yes
5595,Yes
5596,No
5597,No
5598,No
5599,Yes
5600,No
5601,No
5602,No
5603,No
5604,No
5605,No
5606,No
5607,No
5608,No
5609,Yes
5610,No
